2021-09-04 13:32:08 DEBUG logging:28 - Logging Provider: org.jboss.logging.Log4jLoggerProvider
2021-09-04 13:32:08 DEBUG IntegratorServiceImpl:46 - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
2021-09-04 13:32:08 DEBUG IntegratorServiceImpl:46 - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
2021-09-04 13:32:08 DEBUG IntegratorServiceImpl:46 - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
2021-09-04 13:32:08 INFO  Version:44 - HHH000412: Hibernate Core {5.4.11.Final}
2021-09-04 13:32:08 DEBUG Environment:199 - HHH000206: hibernate.properties not found
2021-09-04 13:32:09 DEBUG LocalXmlResourceResolver:57 - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
2021-09-04 13:32:09 DEBUG LocalXmlResourceResolver:85 - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
2021-09-04 13:32:09 DEBUG JaxbCfgProcessor:116 - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
2021-09-04 13:32:09 DEBUG IntegratorServiceImpl:46 - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
2021-09-04 13:32:09 DEBUG IntegratorServiceImpl:46 - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
2021-09-04 13:32:09 DEBUG IntegratorServiceImpl:46 - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
2021-09-04 13:32:09 DEBUG ServiceBinding:68 - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
2021-09-04 13:32:09 DEBUG Configuration:652 - Building session factory using provided StandardServiceRegistry
2021-09-04 13:32:09 DEBUG RegionFactoryInitiator:118 - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
2021-09-04 13:32:09 DEBUG RegionFactoryInitiator:49 - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
2021-09-04 13:32:09 INFO  Version:49 - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
2021-09-04 13:32:09 DEBUG BasicTypeRegistry:157 - Adding type registration boolean -> org.hibernate.type.BooleanType@db44aa2
2021-09-04 13:32:09 DEBUG BasicTypeRegistry:157 - Adding type registration boolean -> org.hibernate.type.BooleanType@db44aa2
2021-09-04 13:32:09 DEBUG BasicTypeRegistry:157 - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@db44aa2
2021-09-04 13:32:09 DEBUG BasicTypeRegistry:157 - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@4eeea57d
2021-09-04 13:32:09 DEBUG BasicTypeRegistry:157 - Adding type registration true_false -> org.hibernate.type.TrueFalseType@548e76f1
2021-09-04 13:32:09 DEBUG BasicTypeRegistry:157 - Adding type registration yes_no -> org.hibernate.type.YesNoType@3dd69f5a
2021-09-04 13:32:09 DEBUG BasicTypeRegistry:157 - Adding type registration byte -> org.hibernate.type.ByteType@23a9ba52
2021-09-04 13:32:09 DEBUG BasicTypeRegistry:157 - Adding type registration byte -> org.hibernate.type.ByteType@23a9ba52
2021-09-04 13:32:09 DEBUG BasicTypeRegistry:157 - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@23a9ba52
2021-09-04 13:32:09 DEBUG BasicTypeRegistry:157 - Adding type registration character -> org.hibernate.type.CharacterType@64f857e7
2021-09-04 13:32:09 DEBUG BasicTypeRegistry:157 - Adding type registration char -> org.hibernate.type.CharacterType@64f857e7
2021-09-04 13:32:09 DEBUG BasicTypeRegistry:157 - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@64f857e7
2021-09-04 13:32:09 DEBUG BasicTypeRegistry:157 - Adding type registration short -> org.hibernate.type.ShortType@73511076
2021-09-04 13:32:09 DEBUG BasicTypeRegistry:157 - Adding type registration short -> org.hibernate.type.ShortType@73511076
2021-09-04 13:32:09 DEBUG BasicTypeRegistry:157 - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@73511076
2021-09-04 13:32:09 DEBUG BasicTypeRegistry:157 - Adding type registration integer -> org.hibernate.type.IntegerType@514eedd8
2021-09-04 13:32:09 DEBUG BasicTypeRegistry:157 - Adding type registration int -> org.hibernate.type.IntegerType@514eedd8
2021-09-04 13:32:09 DEBUG BasicTypeRegistry:157 - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@514eedd8
2021-09-04 13:32:09 DEBUG BasicTypeRegistry:157 - Adding type registration long -> org.hibernate.type.LongType@466cf502
2021-09-04 13:32:09 DEBUG BasicTypeRegistry:157 - Adding type registration long -> org.hibernate.type.LongType@466cf502
2021-09-04 13:32:09 DEBUG BasicTypeRegistry:157 - Adding type registration java.lang.Long -> org.hibernate.type.LongType@466cf502
2021-09-04 13:32:09 DEBUG BasicTypeRegistry:157 - Adding type registration float -> org.hibernate.type.FloatType@46cc127b
2021-09-04 13:32:09 DEBUG BasicTypeRegistry:157 - Adding type registration float -> org.hibernate.type.FloatType@46cc127b
2021-09-04 13:32:09 DEBUG BasicTypeRegistry:157 - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@46cc127b
2021-09-04 13:32:09 DEBUG BasicTypeRegistry:157 - Adding type registration double -> org.hibernate.type.DoubleType@3546d80f
2021-09-04 13:32:09 DEBUG BasicTypeRegistry:157 - Adding type registration double -> org.hibernate.type.DoubleType@3546d80f
2021-09-04 13:32:09 DEBUG BasicTypeRegistry:157 - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@3546d80f
2021-09-04 13:32:09 DEBUG BasicTypeRegistry:157 - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@7689ddef
2021-09-04 13:32:09 DEBUG BasicTypeRegistry:157 - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@7689ddef
2021-09-04 13:32:09 DEBUG BasicTypeRegistry:157 - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@aa22f1c
2021-09-04 13:32:09 DEBUG BasicTypeRegistry:157 - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@aa22f1c
2021-09-04 13:32:09 DEBUG BasicTypeRegistry:157 - Adding type registration string -> org.hibernate.type.StringType@3deb2326
2021-09-04 13:32:09 DEBUG BasicTypeRegistry:157 - Adding type registration java.lang.String -> org.hibernate.type.StringType@3deb2326
2021-09-04 13:32:09 DEBUG BasicTypeRegistry:157 - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@5ef8df1e
2021-09-04 13:32:09 DEBUG BasicTypeRegistry:157 - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@4108fa66
2021-09-04 13:32:09 DEBUG BasicTypeRegistry:157 - Adding type registration url -> org.hibernate.type.UrlType@1b5bc39d
2021-09-04 13:32:09 DEBUG BasicTypeRegistry:157 - Adding type registration java.net.URL -> org.hibernate.type.UrlType@1b5bc39d
2021-09-04 13:32:09 DEBUG BasicTypeRegistry:157 - Adding type registration Duration -> org.hibernate.type.DurationType@1df98368
2021-09-04 13:32:09 DEBUG BasicTypeRegistry:157 - Adding type registration java.time.Duration -> org.hibernate.type.DurationType@1df98368
2021-09-04 13:32:09 DEBUG BasicTypeRegistry:157 - Adding type registration Instant -> org.hibernate.type.InstantType@263f04ca
2021-09-04 13:32:09 DEBUG BasicTypeRegistry:157 - Adding type registration java.time.Instant -> org.hibernate.type.InstantType@263f04ca
2021-09-04 13:32:09 DEBUG BasicTypeRegistry:157 - Adding type registration LocalDateTime -> org.hibernate.type.LocalDateTimeType@2f3c6ac4
2021-09-04 13:32:09 DEBUG BasicTypeRegistry:157 - Adding type registration java.time.LocalDateTime -> org.hibernate.type.LocalDateTimeType@2f3c6ac4
2021-09-04 13:32:09 DEBUG BasicTypeRegistry:157 - Adding type registration LocalDate -> org.hibernate.type.LocalDateType@5769e7ae
2021-09-04 13:32:09 DEBUG BasicTypeRegistry:157 - Adding type registration java.time.LocalDate -> org.hibernate.type.LocalDateType@5769e7ae
2021-09-04 13:32:09 DEBUG BasicTypeRegistry:157 - Adding type registration LocalTime -> org.hibernate.type.LocalTimeType@62f87c44
2021-09-04 13:32:09 DEBUG BasicTypeRegistry:157 - Adding type registration java.time.LocalTime -> org.hibernate.type.LocalTimeType@62f87c44
2021-09-04 13:32:09 DEBUG BasicTypeRegistry:157 - Adding type registration OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@327120c8
2021-09-04 13:32:09 DEBUG BasicTypeRegistry:157 - Adding type registration java.time.OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@327120c8
2021-09-04 13:32:09 DEBUG BasicTypeRegistry:157 - Adding type registration OffsetTime -> org.hibernate.type.OffsetTimeType@50305a
2021-09-04 13:32:09 DEBUG BasicTypeRegistry:157 - Adding type registration java.time.OffsetTime -> org.hibernate.type.OffsetTimeType@50305a
2021-09-04 13:32:09 DEBUG BasicTypeRegistry:157 - Adding type registration ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@120f38e6
2021-09-04 13:32:09 DEBUG BasicTypeRegistry:157 - Adding type registration java.time.ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@120f38e6
2021-09-04 13:32:09 DEBUG BasicTypeRegistry:157 - Adding type registration date -> org.hibernate.type.DateType@42a9a63e
2021-09-04 13:32:09 DEBUG BasicTypeRegistry:157 - Adding type registration java.sql.Date -> org.hibernate.type.DateType@42a9a63e
2021-09-04 13:32:09 DEBUG BasicTypeRegistry:157 - Adding type registration time -> org.hibernate.type.TimeType@408b35bf
2021-09-04 13:32:09 DEBUG BasicTypeRegistry:157 - Adding type registration java.sql.Time -> org.hibernate.type.TimeType@408b35bf
2021-09-04 13:32:09 DEBUG BasicTypeRegistry:157 - Adding type registration timestamp -> org.hibernate.type.TimestampType@14bb2297
2021-09-04 13:32:09 DEBUG BasicTypeRegistry:157 - Adding type registration java.sql.Timestamp -> org.hibernate.type.TimestampType@14bb2297
2021-09-04 13:32:09 DEBUG BasicTypeRegistry:157 - Adding type registration java.util.Date -> org.hibernate.type.TimestampType@14bb2297
2021-09-04 13:32:09 DEBUG BasicTypeRegistry:157 - Adding type registration dbtimestamp -> org.hibernate.type.DbTimestampType@57f791c6
2021-09-04 13:32:09 DEBUG BasicTypeRegistry:157 - Adding type registration calendar -> org.hibernate.type.CalendarType@241a53ef
2021-09-04 13:32:09 DEBUG BasicTypeRegistry:157 - Adding type registration java.util.Calendar -> org.hibernate.type.CalendarType@241a53ef
2021-09-04 13:32:09 DEBUG BasicTypeRegistry:157 - Adding type registration java.util.GregorianCalendar -> org.hibernate.type.CalendarType@241a53ef
2021-09-04 13:32:09 DEBUG BasicTypeRegistry:157 - Adding type registration calendar_date -> org.hibernate.type.CalendarDateType@285f09de
2021-09-04 13:32:09 DEBUG BasicTypeRegistry:157 - Adding type registration calendar_time -> org.hibernate.type.CalendarTimeType@66238be2
2021-09-04 13:32:09 DEBUG BasicTypeRegistry:157 - Adding type registration locale -> org.hibernate.type.LocaleType@24f43aa3
2021-09-04 13:32:09 DEBUG BasicTypeRegistry:157 - Adding type registration java.util.Locale -> org.hibernate.type.LocaleType@24f43aa3
2021-09-04 13:32:09 DEBUG BasicTypeRegistry:157 - Adding type registration currency -> org.hibernate.type.CurrencyType@3aacf32a
2021-09-04 13:32:09 DEBUG BasicTypeRegistry:157 - Adding type registration java.util.Currency -> org.hibernate.type.CurrencyType@3aacf32a
2021-09-04 13:32:09 DEBUG BasicTypeRegistry:157 - Adding type registration timezone -> org.hibernate.type.TimeZoneType@443dbe42
2021-09-04 13:32:09 DEBUG BasicTypeRegistry:157 - Adding type registration java.util.TimeZone -> org.hibernate.type.TimeZoneType@443dbe42
2021-09-04 13:32:09 DEBUG BasicTypeRegistry:157 - Adding type registration class -> org.hibernate.type.ClassType@133e019b
2021-09-04 13:32:09 DEBUG BasicTypeRegistry:157 - Adding type registration java.lang.Class -> org.hibernate.type.ClassType@133e019b
2021-09-04 13:32:09 DEBUG BasicTypeRegistry:157 - Adding type registration uuid-binary -> org.hibernate.type.UUIDBinaryType@65f87a2c
